"id","wpca:d2","wpca:d1","name","color","r","result","opacity"
"237",0.616511292852244,0.419337016574586,"237","red",0.05,1,0.1
"252",0.456533469360321,0.292265193370166,"252","red",0.05,1,0.1
"303",0.762476062322126,0.785635359116022,"303","red",0.05,1,0.1
"305",0.754411580459799,0.843093922651934,"305","red",0.05,1,0.1
"309",0.851550772278915,0.851381215469613,"309","red",0.05,1,0.1
"312",0.748375872119869,0.711602209944751,"312","red",0.05,1,0.1
"346",0.776182684595879,0.614364640883978,"346","red",0.05,1,0.1
"354",0.721510244795984,0.81767955801105,"354","red",0.05,1,0.1
"377",0.701216349293859,0.546961325966851,"377","red",0.05,1,0.1
"392",0.775704058506577,0.812707182320442,"392","red",0.05,1,0.1
"4",0.775683854013749,0.658011049723757,"4","red",0.05,1,0.1
"401",0.772939388336718,0.762430939226519,"401","red",0.05,1,0.1
"422",0.70431589933171,0.738674033149171,"422","red",0.05,1,0.1
"443",0.554007729955493,0.485082872928177,"443","red",0.05,1,0.1
"467",0.724698463910613,0.780110497237569,"467","red",0.05,1,0.1
"4778",0.800673318348193,0.925414364640884,"4778","red",0.05,1,0.1
"5261",0.821099306255599,0.911602209944751,"5261","red",0.05,1,0.1
"5268",0.773179298035455,0.90939226519337,"5268","red",0.05,1,0.1
"5269",0.597938886157492,0.511602209944751,"5269","red",0.05,1,0.1
"5272",0.641022522684033,0.849171270718232,"5272","red",0.05,1,0.1
"5273",0.31950362687113,0.322942643391521,"5273","red",0.05,1,0.1
"5279",0.641751885687824,0.762983425414365,"5279","red",0.05,1,0.1
"5282",0.761322535996593,0.915469613259668,"5282","red",0.05,1,0.1
"5290",0.787843794694889,0.841436464088398,"5290","red",0.05,1,0.1
"5297",0.269431539487089,0.588516746411483,"5297","red",0.05,1,0.1
"5307",0.778535992976056,0.924861878453039,"5307","red",0.05,1,0.1
"5310",0.620603087060833,0.716022099447514,"5310","red",0.05,1,0.1
"5313",0.800030187613461,0.919337016574586,"5313","red",0.05,1,0.1
"5314",0.677786595537594,0.837569060773481,"5314","red",0.05,1,0.1
"5321",0.524448016036517,0.739401496259352,"5321","red",0.05,1,0.1
"5322",0.753328570737462,0.890055248618784,"5322","red",0.05,1,0.1
"5342",0.645664207369951,0.816574585635359,"5342","red",0.05,1,0.1
"5402",0.614984587392137,0.544198895027624,"5402","red",0.05,1,0.1
"5433",1,0.779558011049724,"5433","red",0.05,1,0.1
"5447",0.63313664481898,0.783391003460208,"5447","red",0.05,1,0.1
"5456",0.677606037526297,0.8,"5456","red",0.05,1,0.1
"5459",0.786104806821147,0.786740331491713,"5459","red",0.05,1,0.1
"5461",0.752462726961132,0.82817679558011,"5461","red",0.05,1,0.1
"5462",0.573223084177477,0.555801104972376,"5462","red",0.05,1,0.1
"5476",0.769245403661348,0.880662983425414,"5476","red",0.05,1,0.1
"5487",0.694996604551899,0.973480662983425,"5487","red",0.05,1,0.1
"5490",0.615610484970297,0.795580110497238,"5490","red",0.05,1,0.1
"5502",0.741603810248683,0.901657458563536,"5502","red",0.05,1,0.1
"5506",0.7771746206661,0.950276243093923,"5506","red",0.05,1,0.1
"5507",0.676624179420185,0.687845303867403,"5507","red",0.05,1,0.1
"5513",0.757688569941871,0.925966850828729,"5513","red",0.05,1,0.1
"5520",0.626007515801762,0.768849206349206,"5520","red",0.05,1,0.1
"5558",0.501610036130387,0.258011049723757,"5558","red",0.05,1,0.1
"5700",0.777232911988479,0.53646408839779,"5700","red",0.05,1,0.1
"5718",0.689380939900113,0.601657458563536,"5718","red",0.05,1,0.1
"5768",0.667222616796048,0.409944751381215,"5768","red",0.05,1,0.1
"5844",0.753801148309094,0.789502762430939,"5844","red",0.05,1,0.1
"5866",0.761722268338544,0.883425414364641,"5866","red",0.05,1,0.1
"5891",0.58660476884583,0.720994475138122,"5891","red",0.05,1,0.1
"5897",0.785497678129121,0.860220994475138,"5897","red",0.05,1,0.1
"5903",0.82635346414498,0.635911602209945,"5903","red",0.05,1,0.1
"5909",0.835971604529901,0.698342541436464,"5909","red",0.05,1,0.1
"5911",0.701462095694755,0.789502762430939,"5911","red",0.05,1,0.1
"5914",0.72243597264485,0.762430939226519,"5914","red",0.05,1,0.1
"5917",0.709810461591333,0.82707182320442,"5917","red",0.05,1,0.1
"5918",0.627380578403166,0.724861878453039,"5918","red",0.05,1,0.1
"5919",0.674565052213423,0.818232044198895,"5919","red",0.05,1,0.1
"5920",0.763653707090438,0.850828729281768,"5920","red",0.05,1,0.1
"5921",0.690949805873816,0.714917127071823,"5921","red",0.05,1,0.1
"5922",0.690231818840628,0.754696132596685,"5922","red",0.05,1,0.1
"5926",0.797926363753633,0.890055248618784,"5926","red",0.05,1,0.1
"5933",0.563324599846945,0.370718232044199,"5933","red",0.05,1,0.1
"5934",0.803904094296494,0.949171270718232,"5934","red",0.05,1,0.1
"5938",0.773673597810403,0.925414364640884,"5938","red",0.05,1,0.1
"5939",0.830844441121886,0.624861878453039,"5939","red",0.05,1,0.1
