"id","name","color","party","wpca:d1","wpca:d2","r","result","opacity"
4,"Benda, Marek (ODS)","blue","ODS",0.864820173625465,0.75452877719055,0.05,1,0.7
68,"KluËka, V·clav (»SSD)","orange","»SSD",0.675899131872675,0.652213217866592,0.05,1,0.7
111,"NeËas, Petr (ODS)","blue","ODS",0.580111639445938,0.547865698982032,0.05,1,0.7
122,"OrgonÌkov·, Hana (»SSD)","orange","»SSD",0.789125491006822,0.877880969945396,0.05,1,0.7
211,"Emmerov·, Milada (»SSD)","orange","»SSD",0.755482967802147,0.704045847030866,0.05,1,0.7
216,"Hulinsk˝, Petr (»SSD)","orange","»SSD",0.743489045059942,0.846441452376411,0.05,1,0.7
235,"Skopal, Ladislav (»SSD)","orange","»SSD",0.623733719247467,0.771340806103799,0.05,1,0.7
237,"Sobotka, Bohuslav (»SSD)","orange","»SSD",0.642753772999793,0.749107755885399,0.05,1,0.7
239,"äkromach, ZdenÏk (»SSD)","orange","»SSD",0.756972111553785,0.113518506873244,0.05,1,0.7
252,"Zaor·lek, LubomÌr (»SSD)","orange","»SSD",0.565433119702295,0.814205199200076,0.05,1,0.7
261,"HornÌkov·, ZdeÚka (ODS)","blue","ODS",0.672798677139314,0.633267637719721,0.05,1,0.7
269,"Papeû, Ji¯Ì (ODS)","blue","ODS",0.65908621046103,0.696239056585629,0.05,1,0.7
273,"Plach˝, Jaroslav (ODS)","blue","ODS",0.901385156088485,0.709398988981277,0.05,1,0.7
280,"VidÌm, Jan (ODS)","blue","ODS",0.901798635517883,0.713681408459376,0.05,1,0.7
303,"Filip, VojtÏch (KS»M)","red","KS»M",0.798263745349318,0.814252667121717,0.05,1,0.7
305,"GrebenÌËek, Miroslav (KS»M)","red","KS»M",0.833608929309632,0.862657087852442,0.05,1,0.7
309,"Kov·Ëik, Pavel (KS»M)","red","KS»M",0.759818106655643,0.78929749879743,0.05,1,0.7
